Remuneration, PayPreparedness,Transformative,Speed,Convenience,Ethics,Legal,TechSupport,Rethink
3,5,3,3,4,2,2,2,5
1,4,5,4,5,3,4,1,6
2,5,2,4,4,5,4,2,6
3,2,2,2,3,3,4,1,2
6,5,6,6,6,7,7,1,7
2,1,1,6,7,1,1,1,1
5,4,5,6,5,5,5,1,6
2,6,6,7,7,3,6,2,6
6,4,5,5,6,6,7,1,4
2,1,1,3,4,3,4,1,3
